"requirement_id","version","source","title","primary_acceptance_criterion","related_acceptance_criteria","evidence","stage","status"
"AK-04","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Byte-Manipulation","4","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-05","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Kettenlücke","5","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-06","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Vertauschung","6","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-09","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Bösartiger Server-Key","9","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-14","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Server dauerhaft weg","14","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-16","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Falsche Gerätezeit","16","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-17","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Schema und Suite v1/v2","17","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-20","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Recovery-Bericht","20","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-38","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","CLI und Export","38","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
"AK-51","v1","docs/superpowers/specs/2026-08-13-einsatzarchiv-v0-1-design.md §23","Grant-Interoperabilität","51","","cargo run --locked -p xtask -- stage-gate 1","1","planned"
